Date,Description,Amount,Category
2024-01-15,Salary Deposit,3500.00,Income
2024-01-16,Rent Payment,-1200.00,Housing
2024-01-17,Grocery Store - Walmart,-89.45,Food & Dining
2024-01-18,Starbucks Coffee,-5.75,Food & Dining
2024-01-19,Gas Station - Shell,-45.20,Transportation
2024-01-20,Netflix Subscription,-15.99,Entertainment
2024-01-21,Starbucks Coffee,-5.75,Food & Dining
2024-01-22,Amazon Purchase,-67.89,Shopping
2024-01-23,Grocery Store - Safeway,-112.30,Food & Dining
2024-01-24,Uber Ride,-12.50,Transportation
2024-01-25,Starbucks Coffee,-5.75,Food & Dining
2024-01-26,Restaurant - Olive Garden,-89.50,Food & Dining
2024-01-27,Gym Membership,-49.99,Health & Fitness
2024-01-28,Starbucks Coffee,-5.75,Food & Dining
2024-01-29,Phone Bill - Verizon,-85.00,Utilities
2024-01-30,Grocery Store - Walmart,-95.67,Food & Dining
2024-01-31,Starbucks Coffee,-5.75,Food & Dining
2024-02-01,Salary Deposit,3500.00,Income
2024-02-02,Rent Payment,-1200.00,Housing
2024-02-03,Grocery Store - Walmart,-78.90,Food & Dining
2024-02-04,Starbucks Coffee,-5.75,Food & Dining
2024-02-05,Gas Station - BP,-52.10,Transportation
2024-02-06,Spotify Premium,-9.99,Entertainment
2024-02-07,Starbucks Coffee,-5.75,Food & Dining
2024-02-08,Amazon Purchase,-145.67,Shopping
2024-02-09,Grocery Store - Kroger,-87.45,Food & Dining
2024-02-10,Uber Ride,-18.75,Transportation
2024-02-11,Starbucks Coffee,-5.75,Food & Dining
2024-02-12,Restaurant - Chipotle,-23.90,Food & Dining
2024-02-13,Electric Bill,-125.45,Utilities
2024-02-14,Valentine's Day Dinner,-165.00,Food & Dining
2024-02-15,Starbucks Coffee,-5.75,Food & Dining
2024-02-16,Grocery Store - Walmart,-102.34,Food & Dining
2024-02-17,Starbucks Coffee,-5.75,Food & Dining
2024-02-18,Movie Theater,-28.50,Entertainment
2024-02-19,Gas Station - Shell,-48.90,Transportation
2024-02-20,Starbucks Coffee,-5.75,Food & Dining
2024-02-21,Amazon Purchase,-78.90,Shopping
2024-02-22,Grocery Store - Safeway,-89.67,Food & Dining
2024-02-23,Starbucks Coffee,-5.75,Food & Dining
2024-02-24,Restaurant - Subway,-12.45,Food & Dining
2024-02-25,Starbucks Coffee,-5.75,Food & Dining
2024-02-26,Uber Ride,-15.20,Transportation
2024-02-27,Grocery Store - Walmart,-95.78,Food & Dining
2024-02-28,Starbucks Coffee,-5.75,Food & Dining
2024-03-01,Salary Deposit,3500.00,Income
2024-03-02,Rent Payment,-1200.00,Housing
2024-03-03,Grocery Store - Walmart,-456.78,Food & Dining
2024-03-04,Starbucks Coffee,-5.75,Food & Dining
2024-03-05,Gas Station - Exxon,-289.50,Transportation
2024-03-06,Amazon Purchase,-567.89,Shopping
2024-03-07,Starbucks Coffee,-5.75,Food & Dining
2024-03-08,Restaurant - Fancy Steakhouse,-289.50,Food & Dining
2024-03-09,Grocery Store - Whole Foods,-189.67,Food & Dining
2024-03-10,Uber Ride,-45.75,Transportation
2024-03-11,Starbucks Coffee,-5.75,Food & Dining
2024-03-12,Electronics Store - Best Buy,-899.99,Shopping
2024-03-13,Electric Bill,-145.67,Utilities
2024-03-14,Starbucks Coffee,-5.75,Food & Dining
2024-03-15,Restaurant - Sushi Place,-167.89,Food & Dining
2024-03-16,Grocery Store - Walmart,-145.89,Food & Dining
2024-03-17,Starbucks Coffee,-5.75,Food & Dining
2024-03-18,Amazon Purchase,-234.56,Shopping
2024-03-19,Gas Station - Shell,-67.90,Transportation
2024-03-20,Starbucks Coffee,-5.75,Food & Dining
2024-03-21,Restaurant - Italian Place,-123.45,Food & Dining
2024-03-22,Grocery Store - Safeway,-98.76,Food & Dining
2024-03-23,Starbucks Coffee,-5.75,Food & Dining
2024-03-24,Movie Theater,-45.00,Entertainment
2024-03-25,Starbucks Coffee,-5.75,Food & Dining
2024-03-26,Uber Ride,-23.50,Transportation
2024-03-27,Grocery Store - Walmart,-78.90,Food & Dining
2024-03-28,Starbucks Coffee,-5.75,Food & Dining
2024-03-29,Restaurant - Fast Food,-18.90,Food & Dining
2024-03-30,Starbucks Coffee,-5.75,Food & Dining
2024-03-31,Emergency Car Repair,-1250.00,Transportation
2024-04-01,Salary Deposit,3500.00,Income
2024-04-02,Rent Payment,-1200.00,Housing
2024-04-03,Grocery Store - Walmart,-89.45,Food & Dining
2024-04-04,Starbucks Coffee,-5.75,Food & Dining
2024-04-05,Gas Station - BP,-41.20,Transportation
2024-04-06,Spotify Premium,-9.99,Entertainment
2024-04-07,Starbucks Coffee,-5.75,Food & Dining
2024-04-08,Amazon Purchase,-67.89,Shopping
2024-04-09,Grocery Store - Kroger,-95.67,Food & Dining
2024-04-10,Uber Ride,-16.75,Transportation
2024-04-11,Starbucks Coffee,-5.75,Food & Dining
2024-04-12,Restaurant - Pizza Place,-34.90,Food & Dining
2024-04-13,Electric Bill,-112.45,Utilities
2024-04-14,Starbucks Coffee,-5.75,Food & Dining
2024-04-15,Grocery Store - Walmart,-87.34,Food & Dining
2024-04-16,Starbucks Coffee,-5.75,Food & Dining
2024-04-17,Amazon Purchase,-123.45,Shopping
2024-04-18,Gas Station - Shell,-39.90,Transportation
2024-04-19,Starbucks Coffee,-5.75,Food & Dining
2024-04-20,Restaurant - Mexican Place,-67.89,Food & Dining
2024-04-21,Grocery Store - Safeway,-98.76,Food & Dining
2024-04-22,Starbucks Coffee,-5.75,Food & Dining
2024-04-23,Movie Theater,-32.50,Entertainment
2024-04-24,Starbucks Coffee,-5.75,Food & Dining
2024-04-25,Uber Ride,-19.20,Transportation
2024-04-26,Grocery Store - Walmart,-76.54,Food & Dining
2024-04-27,Starbucks Coffee,-5.75,Food & Dining
2024-04-28,Restaurant - Burger Joint,-22.45,Food & Dining
2024-04-29,Starbucks Coffee,-5.75,Food & Dining
2024-04-30,Gym Membership,-49.99,Health & Fitness
2024-05-01,Salary Deposit,3500.00,Income
2024-05-02,Rent Payment,-1200.00,Housing
2024-05-03,Grocery Store - Walmart,-78.90,Food & Dining
2024-05-04,Coffee Shop - Local Cafe,-4.50,Food & Dining
2024-05-05,Gas Station - Exxon,-43.20,Transportation
2024-05-06,Netflix Subscription,-15.99,Entertainment
2024-05-07,Coffee Shop - Local Cafe,-4.50,Food & Dining
2024-05-08,Amazon Purchase,-89.67,Shopping
2024-05-09,Grocery Store - Kroger,-92.34,Food & Dining
2024-05-10,Uber Ride,-14.75,Transportation
2024-05-11,Coffee Shop - Local Cafe,-4.50,Food & Dining
2024-05-12,Restaurant - Thai Place,-45.90,Food & Dining
2024-05-13,Phone Bill - Verizon,-85.00,Utilities
2024-05-14,Coffee Shop - Local Cafe,-4.50,Food & Dining
2024-05-15,Grocery Store - Walmart,-89.67,Food & Dining
2024-05-16,Coffee Shop - Local Cafe,-4.50,Food & Dining
2024-05-17,Amazon Purchase,-156.78,Shopping
2024-05-18,Gas Station - BP,-47.90,Transportation
2024-05-19,Coffee Shop - Local Cafe,-4.50,Food & Dining
2024-05-20,Restaurant - Indian Place,-78.90,Food & Dining
2024-05-21,Grocery Store - Safeway,-95.67,Food & Dining
2024-05-22,Coffee Shop - Local Cafe,-4.50,Food & Dining
2024-05-23,Movie Theater,-28.50,Entertainment
2024-05-24,Coffee Shop - Local Cafe,-4.50,Food & Dining
2024-05-25,Uber Ride,-17.25,Transportation
2024-05-26,Grocery Store - Walmart,-82.45,Food & Dining
2024-05-27,Coffee Shop - Local Cafe,-4.50,Food & Dining
2024-05-28,Restaurant - Chinese Place,-34.67,Food & Dining
2024-05-29,Coffee Shop - Local Cafe,-4.50,Food & Dining
2024-05-30,Electric Bill,-134.56,Utilities
2024-05-31,Coffee Shop - Local Cafe,-4.50,Food & Dining
2024-06-01,Salary Deposit,3500.00,Income
2024-06-02,Rent Payment,-1200.00,Housing
2024-06-03,Grocery Store - Walmart,-87.90,Food & Dining
2024-06-04,Coffee Shop - Local Cafe,-4.50,Food & Dining
2024-06-05,Gas Station - Shell,-44.20,Transportation
2024-06-06,Spotify Premium,-9.99,Entertainment
2024-06-07,Coffee Shop - Local Cafe,-4.50,Food & Dining
2024-06-08,Amazon Purchase,-234.56,Shopping
2024-06-09,Grocery Store - Kroger,-98.34,Food & Dining
2024-06-10,Uber Ride,-21.75,Transportation
2024-06-11,Coffee Shop - Local Cafe,-4.50,Food & Dining
2024-06-12,Restaurant - Seafood Place,-123.90,Food & Dining
2024-06-13,Gym Membership,-49.99,Health & Fitness
2024-06-14,Coffee Shop - Local Cafe,-4.50,Food & Dining
2024-06-15,Grocery Store - Walmart,-76.67,Food & Dining
2024-06-16,Coffee Shop - Local Cafe,-4.50,Food & Dining
2024-06-17,Amazon Purchase,-189.45,Shopping
2024-06-18,Gas Station - Exxon,-51.90,Transportation
2024-06-19,Coffee Shop - Local Cafe,-4.50,Food & Dining
2024-06-20,Restaurant - BBQ Place,-89.90,Food & Dining
2024-06-21,Grocery Store - Safeway,-102.67,Food & Dining
2024-06-22,Coffee Shop - Local Cafe,-4.50,Food & Dining
2024-06-23,Movie Theater,-35.50,Entertainment
2024-06-24,Coffee Shop - Local Cafe,-4.50,Food & Dining
2024-06-25,Uber Ride,-18.25,Transportation
2024-06-26,Grocery Store - Walmart,-89.45,Food & Dining
2024-06-27,Coffee Shop - Local Cafe,-4.50,Food & Dining
2024-06-28,Restaurant - Breakfast Place,-28.67,Food & Dining
2024-06-29,Coffee Shop - Local Cafe,-4.50,Food & Dining
2024-06-30,Electric Bill,-145.78,Utilities
2024-07-01,Salary Deposit,3500.00,Income
2024-07-02,Rent Payment,-1200.00,Housing
2024-07-03,Grocery Store - Walmart,-91.90,Food & Dining
2024-07-04,Coffee Shop - Local Cafe,-4.50,Food & Dining
2024-07-05,Gas Station - BP,-46.20,Transportation
2024-07-06,Netflix Subscription,-15.99,Entertainment
2024-07-07,Coffee Shop - Local Cafe,-4.50,Food & Dining
2024-07-08,Amazon Purchase,-67.89,Shopping
2024-07-09,Grocery Store - Kroger,-85.34,Food & Dining
2024-07-10,Uber Ride,-16.75,Transportation
2024-07-11,Coffee Shop - Local Cafe,-4.50,Food & Dining
2024-07-12,Restaurant - Lunch Special,-19.90,Food & Dining